진료년도,주상병코드,성별,환자수(명),청구건수(건),요양급여비용(원),보험자부담금(원)
2013,A66,남,217 ,411 ,9211340 ,5676950 
2013,A66,여,234 ,440 ,9747540 ,6301900 
2013,A67,남,11 ,20 ,491050 ,279650 
2013,A67,여,17 ,23 ,422310 ,212710 
2013,A68,남,154 ,299 ,9274390 ,6503160 
2013,A68,여,178 ,315 ,10464170 ,6994080 
2013,A69,남,12783 ,20872 ,359320860 ,266363950 
2013,A69,여,16558 ,27725 ,484603140 ,358195640 
2013,A70,남,1 ,1 ,13390 ,90 
2013,A70,여,2 ,3 ,3232310 ,2453310 
2013,A71,남,17 ,25 ,615340 ,345940 
2013,A71,여,54 ,74 ,2266490 ,1585440 
2013,A74,남,640 ,1036 ,16436950 ,10472060 
2013,A74,여,3673 ,6553 ,147063920 ,99250540 
2013,A75,남,8619 ,17017 ,4603657120 ,3428903370 
2013,A75,여,12157 ,24425 ,7469859720 ,5579374440 
2013,A77,남,112 ,217 ,6749720 ,4629390 
2013,A77,여,145 ,241 ,27106970 ,19910960 
2013,A78,남,17 ,47 ,21575310 ,16294720 
2013,A78,여,2 ,2 ,91120 ,33220 
2013,A79,남,257 ,511 ,34873590 ,25262020 
2013,A79,여,324 ,643 ,58080170 ,42244460 
2013,A80,남,36 ,123 ,7586430 ,5176910 
2013,A80,여,29 ,72 ,6339560 ,4208800 
2013,A81,남,68 ,580 ,590816180 ,512689410 
2013,A81,여,72 ,888 ,721364610 ,613145070 
2013,A82,남,15 ,31 ,5087520 ,2937120 
2013,A82,여,14 ,27 ,1310800 ,891910 
2013,A83,남,16 ,101 ,108743960 ,85834370 
2013,A83,여,15 ,44 ,257890360 ,200672890 
2013,A84,남,3 ,15 ,32214080 ,25187220 
2013,A84,여,2 ,2 ,98430 ,50330 
2013,A85,남,187 ,375 ,233810750 ,180633100 
2013,A85,여,134 ,283 ,108814430 ,85091220 
2013,A86,남,417 ,1243 ,1133207280 ,876779010 
2013,A86,여,307 ,881 ,674762100 ,516779710 
2013,A87,남,8234 ,12422 ,3543981830 ,2736810500 
2013,A87,여,7225 ,11896 ,2795824710 ,2143761180 
2013,A88,남,524 ,762 ,22731760 ,16110050 
2013,A88,여,933 ,1366 ,32570440 ,22673080 
2013,A89,남,35 ,58 ,2912500 ,2152060 
2013,A89,여,38 ,68 ,37128150 ,32614280 
2013,A90,남,145 ,252 ,66649670 ,46983570 
2013,A90,여,114 ,201 ,63743260 ,46507230 
2013,A91,남,8 ,11 ,4036580 ,2751930 
2013,A91,여,4 ,5 ,4775490 ,3580500 
2013,A92,남,13 ,31 ,8521480 ,6149570 
2013,A92,여,9 ,14 ,649060 ,441460 
2013,A93,남,115 ,214 ,33453460 ,26068060 
2013,A93,여,156 ,301 ,41025290 ,31951220 
2013,A94,남,20 ,30 ,8955220 ,6134950 
2013,A94,여,14 ,20 ,2596740 ,1640940 
2013,A96,남,1 ,1 ,15220 ,10720 
2013,A96,여,1 ,1 ,33670 ,7370 
