진료년도,암상병코드,환자수(명),청구건수(건),요양급여비용(원)
2014,C20,50463 ,474966 ,181385129350 
2014,C21,1802 ,15500 ,4916535970 
2014,C22,63452 ,656542 ,413681385080 
2014,C23,6870 ,60156 ,35680342890 
2014,C24,11463 ,106209 ,68931356390 
2014,C25,13250 ,177670 ,102152719410 
2014,C26,1043 ,5311 ,1630538260 
2014,C30,896 ,10482 ,3426509330 
2014,C31,904 ,12519 ,5030538440 
2014,C32,6989 ,70593 ,23118431240 
2014,C33,261 ,1690 ,530585010 
2014,C34,69173 ,854110 ,452474931810 
2014,C38,914 ,6549 ,3830738330 
2014,C39,195 ,647 ,150204230 
2014,C40,1829 ,17229 ,9133056220 
2014,C41,2810 ,21249 ,12119509510 
2014,C43,3243 ,32199 ,11673631400 
2014,C44,11198 ,63182 ,14938358330 
2014,C45,345 ,3991 ,3036918840 
2014,C46,318 ,2457 ,559160420 
2014,C47,360 ,3092 ,1461293710 
2014,C48,1838 ,16763 ,9889894850 
2014,C49,5825 ,60671 ,23998324070 
2014,C50,131574 ,1699250 ,492602050850 
2014,C51,505 ,4374 ,1415789950 
2014,C52,332 ,2958 ,1030030370 
2014,C53,26373 ,234222 ,73237521980 
2014,C54,12223 ,97050 ,29952533330 
2014,C55,1316 ,9290 ,3195355260 
2014,C56,14686 ,156201 ,77498338350 
2014,C57,926 ,6436 ,2818630230 
2014,C60,249 ,1668 ,618688640 
2014,C61,57982 ,462415 ,120201826490 
2014,C62,1701 ,10337 ,2637705960 
2014,C63,173 ,799 ,238347910 
2014,C64,22319 ,128662 ,49094232000 
2014,C65,2449 ,16937 ,6699927150 
2014,C66,2567 ,21855 ,9022282440 
2014,C67,26747 ,208799 ,62470879960 
2014,C68,334 ,2316 ,738499860 
2014,C69,1158 ,10419 ,2420430030 
2014,C70,651 ,4318 ,3138755030 
2014,C71,10128 ,117501 ,74637517300 
2014,C73,302489 ,1512974 ,235846376300 
2014,C74,1150 ,15539 ,7925543720 
2014,C75,817 ,5128 ,1772326280 
2014,C76,1439 ,9911 ,3570852810 
2014,C77,4990 ,20725 ,7261829830 
2014,C78,12392 ,48301 ,35497936030 
2014,C79,12905 ,66386 ,50591520840 
2014,C80,4160 ,22879 ,10607608170 
2014,C81,1885 ,19067 ,7890681840 
2014,C82,1373 ,12830 ,8503406970 
2014,C83,9750 ,98814 ,89110627880 
2014,C84,1737 ,25466 ,14545254810 
2014,C85,9645 ,67646 ,31885882870 
2014,C88,3271 ,23460 ,7034674430 
2014,C90,5559 ,100350 ,90035088010 
2014,C91,5127 ,71495 ,57483772090 
2014,C92,10449 ,110878 ,134194930520 
2014,C93,360 ,4520 ,4855219510 
2014,C94,487 ,3763 ,4109345120 
2014,C95,1654 ,10658 ,9442916970 
2014,C96,1442 ,10382 ,3671134520 
2014,C97,56 ,135 ,176678110 
2014,D00,2899 ,9882 ,2494660140 
2014,D01,12412 ,38285 ,7789449260 
2014,D02,694 ,3257 ,764570490 
2014,D03,542 ,1995 ,346726930 
2014,D04,2026 ,7189 ,837764600 
2014,D05,19859 ,147122 ,30625668350 
2014,D06,28549 ,99690 ,10658365760 
2014,D07,1187 ,4325 ,586281450 
2014,D09,2364 ,10276 ,2246031090 
2014,D32,18553 ,74517 ,37512881330 
2014,D33,16310 ,65855 ,26036107550 
2014,D37,29536 ,70300 ,19803576130 
2014,D38,12447 ,19378 ,4371434700 
2014,D39,9218 ,25815 ,5350941730 
2014,D40,771 ,1855 ,231038550 
2014,D41,4161 ,8424 ,2001679060 
2014,D42,1397 ,6256 ,3682671800 
2014,D43,7156 ,26711 ,13089081410 
2014,D44,19203 ,39855 ,7302211790 
2014,D45,2627 ,16816 ,1955721720 
2014,D46,4158 ,59365 ,44967245360 
2014,D47,7535 ,45849 ,9194014110 
2014,D48,14989 ,34152 ,7719544520 
2015,C00,281 ,1433 ,571641980 
2015,C01,776 ,8924 ,3849814850 
2015,C02,2891 ,29087 ,12780321220 
2015,C03,702 ,5562 ,1940263960 
2015,C04,426 ,4161 ,2189023550 
2015,C05,666 ,6422 ,2400850930 
2015,C06,1571 ,14908 ,6544318980 
2015,C07,1655 ,16241 ,5656372030 
2015,C08,1266 ,11684 ,4082792990 
2015,C09,2236 ,28774 ,11146989040 
2015,C10,777 ,6898 ,3134143700 
2015,C11,2787 ,39782 ,14295734630 
2015,C12,420 ,4698 ,2430935060 
2015,C13,1437 ,20221 ,11260634430 
